word,node-label,new-val
(กลั่นแกล้ง - ADJ),neg,-0.9196141479099679
(กางเกง - VERB),neg,-0.9189710610932476
(กึกก้อง - VERB),neg,-0.9183279742765273
(กลลวง - VERB),neg,-0.917684887459807
(คุณสัมผัส - VERB),neg,-0.9170418006430868
(โป๊ะ - VERB),neg,-0.9163987138263665
(ฝึกฝน - VERB),neg,-0.9157556270096463
(กระทบกระเทือน - VERB),neg,-0.9151125401929261
(โอ้โจร - ADJ),neg,-0.9144694533762058
(รีด - VERB),neg,-0.9138263665594856
(กลัว - ADV),neg,-0.9131832797427653
(รบ - VERB),neg,-0.912540192926045
(ไอศ - VERB),neg,-0.9118971061093247
(ติดตั้ง - VERB),neg,-0.9112540192926045
(ตูม - VERB),neg,-0.9106109324758842
(คุณเว้น - VERB),neg,-0.909967845659164
(ต่อรอง - ADJ),neg,-0.9093247588424437
(ตรวจสอบ - ADV),neg,-0.9086816720257235
(บกพร่อง - VERB),neg,-0.9080385852090033
(ฉีด - VERB),neg,-0.907395498392283
(บรรยากาศ - ADV),neg,-0.9067524115755627
(ย้อนกลับ - ADJ),neg,-0.9061093247588424
(แข่ง - VERB),neg,-0.9054662379421222
(bashings - VERB),neg,-0.9048231511254019
(หลีกหนี - VERB),neg,-0.9041800643086817
(โบ๊ท - VERB),neg,-0.9035369774919614
(ตื่น - ADV),neg,-0.9028938906752412
(เปลือย - ADV),neg,-0.9022508038585209
(คิ้ว - VERB),neg,-0.9016077170418006
(สถานที่ - VERB),neg,-0.9009646302250803
(เปลื้อง - VERB),neg,-0.9003215434083601
(ราบ - ADJ),neg,-0.8996784565916399
(คัดท้าย - VERB),neg,-0.8990353697749196
(ตบ - VERB),neg,-0.8983922829581994
(องค์ - VERB),neg,-0.8977491961414791
(airbnb - VERB),neg,-0.8971061093247589
(คุณผลัก - VERB),neg,-0.8964630225080386
(กอด - VERB),neg,-0.8958199356913183
(กาฬโรค - VERB),neg,-0.895176848874598
(ซับซ้อน - VERB),neg,-0.8945337620578778
(กลโกง - VERB),neg,-0.8938906752411575
(น่ากลัว - ADV),neg,-0.8932475884244373
