word,tf-idf-pos,tf-idf-neg,tf-idf-val,node-label
(ยากน้อย - ADV),1.5880456295278407,0,1.5880456295278407,pos
(เทศบาลเมือง - ADJ),0,-1.5880456295278407,-1.5880456295278407,neg
(ค้า - ADV),0.025341153662678306,-1.5880456295278407,-1.5627044758651625,neg
(ไม้ - ADV),1.0586970863518936,0,1.0586970863518936,pos
(ตะน้อย - ADV),1.0586970863518936,-0.007097410634761298,1.0515996757171324,pos
(เจ็บ - ADV),0.9074546454444803,0,0.9074546454444803,pos
(ทาเล็บ - ADJ),0.7940228147639203,0,0.7940228147639203,pos
(ถนนสุขุมวิท - ADV),0.7940228147639203,0,0.7940228147639203,pos
(ใหล - ADV),0.7940228147639203,0,0.7940228147639203,pos
(ท้าทาย - ADV),0.7940228147639203,0,0.7940228147639203,pos
(จินตนาการ - ADV),0.7057980575679291,0,0.7057980575679291,pos
(ดาว - ADJ),0,-0.7057980575679291,-0.7057980575679291,neg
(อันตราย - ADJ),0.7057980575679291,-0.010240611314934303,0.6955574462529949,pos
(เดินหน้า - ADV),0.6352182518111363,0,0.6352182518111363,pos
(ฮิต - ADJ),0.6352182518111363,0,0.6352182518111363,pos
(บาดตัว - ADJ),0.6352182518111363,0,0.6352182518111363,pos
(ยังคอย - ADJ),0,-0.6352182518111363,-0.6352182518111363,neg
(ตรวจสอบ - ADV),0,-0.6352182518111363,-0.6352182518111363,neg
(เปีย - ADV),0.6160845564410785,0,0.6160845564410785,pos
(มอเตอร์ไซค์ - ADV),0.5293485431759468,0,0.5293485431759468,pos
(งดงาม - ADV),0,-0.5293485431759468,-0.5293485431759468,neg
(ทำลาย - ADJ),0,-0.45372732272224015,-0.45372732272224015,neg
(mrsa - ADV),0,-0.45372732272224015,-0.45372732272224015,neg
(ยุง - ADJ),0,-0.45372732272224015,-0.45372732272224015,neg
(ลาง - ADV),0,-0.45372732272224015,-0.45372732272224015,neg
(เช็ดตัว - ADJ),0,-0.4234788345407575,-0.4234788345407575,neg
(หิว - ADJ),0.41427277292030623,0,0.41427277292030623,pos
(เมืองปาตง - ADV),0,-0.41427277292030623,-0.41427277292030623,neg
(ทา - ADJ),0.39701140738196017,0,0.39701140738196017,pos
(ไขควงเกลียว - ADV),0,-0.39701140738196017,-0.39701140738196017,neg
(โกรธ - ADJ),0,-0.39701140738196017,-0.39701140738196017,neg
(ไอพ่น - ADV),0,-0.39701140738196017,-0.39701140738196017,neg
(ย้าย - ADJ),0.016441710429413423,-0.3849807586734159,-0.36853904824400247,neg
(คาดหมาย - ADJ),0.010529141759438304,-0.37365779518302134,-0.363128653423583,neg
(รบกวน - ADV),0.38113095108668177,-0.022056189298997785,0.359074761787684,pos
(Las - ADV),0.35289902878396456,0,0.35289902878396456,pos
(ต้อย - ADV),0.35289902878396456,-0.0036030530448731496,0.34929597573909144,pos
(เหนื่อย - ADV),0.35289902878396456,-0.00830542493035638,0.3445936038536082,pos
(แสน - ADJ),0,-0.31760912590556817,-0.31760912590556817,neg
(เจ - ADV),0.3024848818148268,0,0.3024848818148268,pos
(พัฒน์พงษ์ สวรรค์ - ADV),0,-0.3024848818148268,-0.3024848818148268,neg
(หา - ADV),0.23098845520404954,-0.5293485431759468,-0.2983600879718973,neg
(ถนนอาหาร - ADV),0.288735569005062,0,0.288735569005062,pos
(ลำลอง - ADJ),0,-0.288735569005062,-0.288735569005062,neg
(ซูเปอร์มาร์เก็ต - ADV),0,-0.288735569005062,-0.288735569005062,neg
(อ่าน - ADV),0.0894673594100192,-0.37365779518302134,-0.2841904357730021,neg
(แกล้ง - ADV),0,-0.280243346387266,-0.280243346387266,neg
(เลี้ยว - ADJ),0,-0.2646742715879734,-0.2646742715879734,neg
(เหมาะ - ADV),0.007970116082950266,-0.2662093762399722,-0.2582392601570219,neg
(ขาย - ADV),0.2540873007244545,0,0.2540873007244545,pos
(ฉวย - ADJ),0,-0.2540873007244545,-0.2540873007244545,neg
(หาน - ADJ),0,-0.2540873007244545,-0.2540873007244545,neg
(un - ADV),0.2507440467675538,0,0.2507440467675538,pos
(ทั่วถึง - ADV),0.2443147122350524,0,0.2443147122350524,pos
(ต้น - ADJ),0,-0.23820684442917608,-0.23820684442917608,neg
(สมบูรณ์แบบ - ADV),0.23526601918930973,0,0.23526601918930973,pos
(monger - ADJ),0,-0.23526601918930973,-0.23526601918930973,neg
(น้ำเสียง - ADV),0,-0.23015154051128126,-0.23015154051128126,neg
(ยืนตาม - ADV),0.22686366136112007,0,0.22686366136112007,pos
(Sea Smile - ADJ),0.2215877622596987,0,0.2215877622596987,pos
(มือถือ - ADV),0.2190407764865987,0,0.2190407764865987,pos
(ความทรงจำ - ADJ),0.21655167675379644,0,0.21655167675379644,pos
(อึดอัด - ADJ),0.22686366136112007,-0.013922814834826635,0.21294084652629344,pos
(คลับคูดู - ADJ),0.21173941727037876,0,0.21173941727037876,pos
(คุณกล้า - ADJ),0,-0.21173941727037876,-0.21173941727037876,neg
(สไมล์ - ADJ),0,-0.2049091134874633,-0.2049091134874633,neg
(pg - ADV),0.19850570369098008,0,0.19850570369098008,pos
(ท่า - ADV),0,-0.19850570369098008,-0.19850570369098008,neg
(ถนนบางลา - ADV),0.19828008713046208,0,0.19828008713046208,pos
(สม่ำเสมอ - ADJ),0,-0.18682889759151067,-0.18682889759151067,neg
(องค์ - ADV),0,-0.18682889759151067,-0.18682889759151067,neg
(patong - ADJ),0,-0.18682889759151067,-0.18682889759151067,neg
(ร้อนแรง - ADJ),0.011383839638192407,-0.19445456688096008,-0.18307072724276768,neg
